Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,216303376,2775.062621239036,4393846,56.37081595102177,588552,4498451,57.71284505321528,65429,0.8394208893209744,7698,
United States of America,Americas,38524389,11638.7,977947,295.45,181046,631134,190.67,7394,2.23,1352
India,South-East Asia,32737939,2372.31,288633,20.92,42909,438210,31.75,3454,0.25,380
Brazil,Americas,20728605,9751.91,172118,80.97,24699,579010,272.4,4801,2.26,684
Russian Federation,Europe,6901152,4728.94,134611,92.24,18325,182429,125.01,5609,3.84,792
The United Kingdom,Europe,6731427,9915.78,238517,351.35,32937,132437,195.09,797,1.17,61
France,Europe,6553326,10075.94,109717,168.69,13619,112556,173.06,557,0.86,53
Turkey,Europe,6346881,7525.43,131218,155.58,17332,56213,66.65,1680,1.99,255
Argentina,Americas,5171458,11442.35,40606,89.84,3725,111324,246.32,1107,2.45,54
Iran (Islamic Republic of),Eastern Mediterranean,4926964,5865.93,249850,297.47,31516,106482,126.77,4444,5.29,581
Colombia,Americas,4903304,9636.45,16407,32.24,2141,124743,245.16,622,1.22,95
Spain,Europe,4831809,10208.2,35071,74.09,0,84000,177.47,320,0.68,0
Italy,Europe,4530246,7595.8,45633,76.51,5954,129093,216.45,342,0.57,37
Indonesia,South-East Asia,4073831,1489.39,84771,30.99,0,131923,48.23,4709,1.72,0
Germany,Europe,3937106,4733.99,65241,78.45,4559,92140,110.79,160,0.19,10
Mexico,Americas,3328863,2581.86,111448,86.44,17546,257906,200.03,4979,3.86,756
Poland,Europe,2888385,7609.4,1580,4.16,154,75340,198.48,24,0.06,0
South Africa,Africa,2764931,4661.93,73958,124.7,7740,81595,137.58,2174,3.67,134
Ukraine,Europe,2284940,5224.66,9769,22.34,749,53738,122.88,264,0.6,18
Peru,Americas,2148419,6515.92,7184,21.79,1134,198167,601.02,349,1.06,52
Philippines,Western Pacific,1954023,1783.18,114709,104.68,18528,33109,30.21,1299,1.19,101
Netherlands,Europe,1936572,11124.87,17932,103.01,2342,17996,103.38,44,0.25,2
Iraq,Eastern Mediterranean,1874435,4660.17,49346,122.68,6083,20699,51.46,515,1.28,67
Malaysia,Western Pacific,1706089,5271.24,150996,466.53,20579,16087,49.7,1919,5.93,285
Czechia,Europe,1678944,15699.96,1325,12.39,82,30402,284.29,17,0.16,0
Chile,Americas,1637829,8567.75,4013,20.99,595,36885,192.95,235,1.23,44
Bangladesh,South-East Asia,1493537,906.88,25822,15.68,0,26015,15.8,616,0.37,0
Canada,Americas,1486436,3938.4,17692,46.88,0,26890,71.25,100,0.26,0
Japan,Western Pacific,1454364,1149.91,154011,121.77,19994,15946,12.61,315,0.25,50
Thailand,South-East Asia,1190063,1704.96,123277,176.61,15972,11399,16.33,1837,2.63,256
Belgium,Europe,1177909,10222.74,8692,75.44,0,25360,220.09,21,0.18,0
Pakistan,Eastern Mediterranean,1152481,521.74,28669,12.98,3909,25604,11.59,681,0.31,69
Sweden,Europe,1123413,10877.79,5774,55.91,0,14685,142.19,4,0.04,0
Romania,Europe,1097452,5677.8,6112,31.62,699,34539,178.69,113,0.58,11
Israel,Europe,1053528,12171.72,60025,693.49,6576,6990,80.76,149,1.72,8
Portugal,Europe,1034947,10052.02,15527,150.81,1782,17721,172.12,82,0.8,10
Kazakhstan,Europe,854842,4552.67,38121,203.02,0,12936,68.89,281,1.5,0
Morocco,Eastern Mediterranean,853373,2312,42424,114.94,3841,12437,33.69,645,1.75,76
Hungary,Europe,812227,8313.88,1106,11.32,521,30057,307.66,5,0.05,0
Jordan,Eastern Mediterranean,795161,7793.3,5687,55.74,811,10383,101.76,90,0.88,15
Switzerland,Europe,773583,8938.38,17142,198.07,6189,10432,120.54,28,0.32,8
Nepal,South-East Asia,759222,2605.71,10241,35.15,0,10714,36.77,181,0.62,0
Serbia,Europe,757617,10937.62,15304,220.94,1722,7266,104.9,52,0.75,9
United Arab Emirates,Eastern Mediterranean,716381,7243.19,7003,70.81,987,2038,20.61,18,0.18,2
Austria,Europe,681513,7656.53,9447,106.13,1339,10572,118.77,15,0.17,1
Tunisia,Eastern Mediterranean,660587,5589.38,17799,150.6,3552,23369,197.73,760,6.43,72
Cuba,Americas,640438,5654.27,57139,504.47,6277,5144,45.42,600,5.3,77
Lebanon,Eastern Mediterranean,600451,8797.24,8295,121.53,1153,8044,117.85,33,0.48,4
Greece,Europe,581315,5423.44,22129,206.45,1581,13636,127.22,252,2.35,37
Georgia,Europe,545033,13662.8,27935,700.27,1915,7329,183.72,498,12.48,78
Saudi Arabia,Eastern Mediterranean,544004,1562.61,2010,5.77,208,8532,24.51,51,0.15,6
Ecuador,Americas,501049,2839.92,2371,13.44,605,32223,182.64,136,0.77,57
Bolivia (Plurinational State of),Americas,489802,4196.02,3408,29.2,869,18402,157.65,106,0.91,31
Belarus,Europe,479306,5072.39,9589,101.48,1405,3757,39.76,76,0.8,12
Guatemala,Americas,463753,2588.55,24500,136.75,3736,11818,65.96,318,1.77,50
Paraguay,Americas,458291,6425.36,679,9.52,62,15698,220.09,148,2.07,13
Panama,Americas,456203,10573.06,4219,97.78,676,7043,163.23,40,0.93,4
Costa Rica,Americas,455784,8947.26,13089,256.94,0,5431,106.61,101,1.98,0
Bulgaria,Europe,451599,6496.44,10304,148.23,451,18731,269.45,256,3.68,26
Viet Nam,Western Pacific,435265,447.17,87206,89.59,12796,10749,11.04,2472,2.54,344
Sri Lanka,South-East Asia,431519,2015.2,37164,173.56,0,8775,40.98,1215,5.67,0
Azerbaijan,Europe,417996,4122.58,26490,261.26,4010,5553,54.77,245,2.42,41
Kuwait,Eastern Mediterranean,409552,9590.1,1307,30.6,189,2417,56.6,13,0.3,1
Slovakia,Europe,394791,7233.42,698,12.79,49,12548,229.91,1,0.02,0
Myanmar,South-East Asia,392300,721.01,16429,30.19,0,15183,27.9,684,1.26,0
Uruguay,Americas,384622,11072.31,596,17.16,91,6027,173.5,11,0.32,1
Croatia,Europe,373330,9199.48,3492,86.05,139,8331,205.29,28,0.69,6
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,366705,7188.3,11196,219.47,1696,3940,77.23,35,0.69,3
Dominican Republic,Americas,349859,3225.13,2024,18.66,239,4007,36.94,18,0.17,0
Ireland,Europe,349773,7045.57,12656,254.93,1706,5092,102.57,18,0.36,0
Denmark,Europe,344088,5909.36,6622,113.73,614,2580,44.31,14,0.24,4
Honduras,Americas,335398,3386.28,8568,86.51,0,8832,89.17,238,2.4,0
Venezuela (Bolivarian Republic of),Americas,332172,1168.14,7530,26.48,1060,3986,14.02,100,0.35,16
Ethiopia,Africa,306117,266.27,10313,8.97,1040,4644,4.04,83,0.07,13
Libya,Eastern Mediterranean,305793,4450.3,10539,153.38,2003,4184,60.89,133,1.94,19
Oman,Eastern Mediterranean,302132,5916.47,833,16.31,348,4057,79.45,26,0.51,8
Lithuania,Europe,298165,10671.27,4079,145.99,388,4547,162.74,53,1.9,8
Egypt,Eastern Mediterranean,287899,281.33,1547,1.51,255,16721,16.34,50,0.05,7
Bahrain,Eastern Mediterranean,272341,16005.23,710,41.73,95,1388,81.57,2,0.12,0
Republic of Moldova,Europe,266988,6618.5,2556,63.36,204,6394,158.5,37,0.92,4
Slovenia,Europe,266660,12723.17,2994,142.85,143,4777,227.93,5,0.24,0
Republic of Korea,Western Pacific,250051,487.72,12273,23.94,1487,2284,4.45,62,0.12,5
Armenia,Europe,241611,8153.63,3726,125.74,275,4830,163,68,2.29,7
Kenya,Africa,234952,436.95,5943,11.05,363,4710,8.76,213,0.4,16
Qatar,Eastern Mediterranean,232366,8065.32,1529,53.07,179,602,20.9,1,0.03,0
Bosnia and Herzegovina,Europe,213206,6498.57,3424,104.36,322,9787,298.31,62,1.89,2
Mongolia,Western Pacific,209066,6377.29,15387,469.36,2414,927,28.28,29,0.88,3
Zambia,Africa,206051,1120.82,1502,8.17,158,3596,19.56,22,0.12,5
Algeria,Africa,195162,445.06,3579,8.16,491,5209,11.88,205,0.47,30
Nigeria,Africa,191345,92.82,4322,2.1,362,2454,1.19,186,0.09,93
Kyrgyzstan,Europe,175589,2691.35,1441,22.09,152,2524,38.69,35,0.54,6
North Macedonia,Europe,175330,8415.65,6458,309.98,663,5869,281.71,201,9.65,27
Puerto Rico,Americas,169580,5927.6,5598,195.68,692,2826,98.78,88,3.08,3
Norway,Europe,157034,2925.6,7530,140.29,248,814,15.17,3,0.06,0
Uzbekistan,Europe,155639,465.02,5763,17.22,795,1075,3.21,47,0.14,5
Botswana,Africa,153793,6539.86,7332,311.78,0,2213,94.11,132,5.61,0
Afghanistan,Eastern Mediterranean,153148,393.41,565,1.45,115,7116,18.28,40,0.1,7
Mozambique,Africa,145863,466.68,3079,9.85,139,1851,5.92,51,0.16,9
Albania,Europe,144847,5033.25,5523,191.92,768,2492,86.59,14,0.49,2
Kosovo[1],Europe,142689,7946.3,13423,747.52,1630,2448,136.33,132,7.35,36
Latvia,Europe,142400,7464.58,1282,67.2,277,2573,134.88,4,0.21,0
Estonia,Europe,141599,10654.74,2473,186.08,255,1291,97.14,6,0.45,2
Finland,Europe,126565,2290.65,3614,65.41,472,1024,18.53,3,0.05,0
Namibia,Africa,124618,4904.47,1037,40.81,0,3370,132.63,28,1.1,0
Zimbabwe,Africa,124437,837.23,1785,12.01,70,4401,29.61,152,1.02,11
China,Western Pacific,122995,8.36,297,0.02,53,5682,0.39,6,0,1
Ghana,Africa,117636,378.58,3052,9.82,0,1008,3.24,40,0.13,0
Montenegro,Europe,114364,18209.03,4398,700.25,557,1716,273.22,50,7.96,8
Cyprus,Europe,113277,12756.35,1944,218.92,208,499,56.19,16,1.8,2
Uganda,Africa,99225,216.93,1059,2.32,188,2991,6.54,39,0.09,6
El Salvador,Americas,94060,1450.15,1374,21.18,0,2898,44.68,58,0.89,8
Cambodia,Western Pacific,92208,551.52,2977,17.81,438,1881,11.25,89,0.53,11
Rwanda,Africa,86613,668.71,3590,27.72,371,1079,8.33,58,0.45,5
Cameroon,Africa,83425,314.27,971,3.66,0,1350,5.09,12,0.05,0
Maldives,South-East Asia,80791,14946.24,724,133.94,0,226,41.81,1,0.18,0
Luxembourg,Europe,75517,12061.34,395,63.09,0,830,132.56,0,0,0
Senegal,Africa,72709,434.24,782,4.67,91,1749,10.45,78,0.47,7
Singapore,Western Pacific,67171,1148.16,693,11.85,0,55,0.94,6,0.1,0
Jamaica,Americas,66663,2251.24,4830,163.11,929,1504,50.79,116,3.92,21
Malawi,Africa,60345,315.45,874,4.57,32,2161,11.3,87,0.45,4
Côte d’Ivoire,Africa,55108,208.91,1463,5.55,252,430,1.63,35,0.13,6
Democratic Republic of the Congo,Africa,54863,61.26,854,0.95,0,1059,1.18,6,0.01,0
Australia,Western Pacific,51256,201,7243,28.4,1328,999,3.92,18,0.07,6
Réunion,Africa,48683,5437.55,1929,215.46,0,332,37.08,22,2.46,0
Angola,Africa,47168,143.51,1223,3.72,89,1201,3.65,48,0.15,9
Fiji,Western Pacific,46027,5134.39,2430,271.07,396,479,53.43,41,4.57,0
Guadeloupe,Americas,45393,11344.73,7438,1858.92,0,503,125.71,114,28.49,0
Trinidad and Tobago,Americas,44296,3165.16,1334,95.32,297,1274,91.03,55,3.93,7
Madagascar,Africa,42862,154.79,17,0.06,0,955,3.45,1,0,0
Eswatini,Africa,42828,3691.55,2373,204.54,109,1081,93.18,77,6.64,14
French Polynesia,Western Pacific,40178,14302.9,3806,1354.89,0,385,137.06,128,45.57,0
Sudan,Eastern Mediterranean,37708,85.99,69,0.16,1,2791,6.36,7,0.02,0
Malta,Europe,36089,7013.51,315,61.22,50,440,85.51,4,0.78,0
Martinique,Americas,35953,9580.7,2132,568.13,0,411,109.52,133,35.44,0
Cabo Verde,Africa,35227,6335.94,489,87.95,80,309,55.58,4,0.72,1
French Guiana,Americas,34375,11508.9,1315,440.27,0,215,71.98,11,3.68,0
Mauritania,Africa,33309,716.38,1487,31.98,151,705,15.16,32,0.69,3
Guinea,Africa,29209,222.41,407,3.1,0,326,2.48,12,0.09,0
Suriname,Americas,28684,4889.61,1313,223.82,222,714,121.71,17,2.9,5
Syrian Arab Republic,Eastern Mediterranean,27654,158.02,855,4.89,115,2003,11.45,39,0.22,5
Gabon,Africa,25819,1160.02,152,6.83,0,165,7.41,0,0,0
Guyana,Americas,25147,3197.12,923,117.35,180,610,77.55,19,2.42,1
Togo,Africa,21181,255.85,1567,18.93,483,180,2.17,8,0.1,3
Haiti,Americas,20850,182.85,17,0.15,0,584,5.12,0,0,0
Seychelles,Africa,19992,20328.02,383,389.44,82,102,103.71,4,4.07,0
Mayotte,Africa,19780,7250.33,98,35.92,41,175,64.15,0,0,0
Papua New Guinea,Western Pacific,18012,201.32,86,0.96,13,192,2.15,0,0,0
Bahamas,Americas,17940,4562.05,554,140.88,0,354,90.02,16,4.07,0
Somalia,Eastern Mediterranean,17302,108.86,767,4.83,92,963,6.06,66,0.42,10
Tajikistan,Europe,17178,180.11,264,2.77,40,125,1.31,0,0,0
Timor-Leste,South-East Asia,16402,1244.04,1999,151.62,0,62,4.7,13,0.99,0
Belize,Americas,16012,4026.88,597,150.14,0,356,89.53,5,1.26,0
Curaçao,Americas,15134,9222.82,332,202.32,0,142,86.54,6,3.66,0
Andorra,Europe,15025,19446.06,37,47.89,0,130,168.25,1,1.29,0
Mali,Africa,14858,73.37,100,0.49,11,539,2.66,3,0.01,0
Lao People's Democratic Republic,Western Pacific,14641,201.24,2172,29.85,175,12,0.16,1,0.01,0
Lesotho,Africa,14395,671.96,24,1.12,0,403,18.81,3,0.14,0
Aruba,Americas,14318,13410.64,599,561.04,0,133,124.57,9,8.43,0
Burkina Faso,Africa,13762,65.84,49,0.23,3,171,0.82,0,0,0
Congo,Africa,13588,246.24,95,1.72,55,183,3.32,4,0.07,0
Benin,Africa,13366,110.25,3183,26.26,0,128,1.06,9,0.07,0
Burundi,Africa,12390,104.2,1057,8.89,0,10,0.08,0,0,0
Djibouti,Eastern Mediterranean,11741,1188.36,45,4.55,13,157,15.89,0,0,0
South Sudan,Africa,11427,102.08,117,1.05,10,120,1.07,0,0,0
Central African Republic,Africa,11270,233.34,0,0,0,99,2.05,0,0,0
Iceland,Europe,10658,2926.94,543,149.12,53,32,8.79,2,0.55,0
Mauritius,Africa,10196,801.72,2098,164.97,0,29,2.28,4,0.31,0
Guam,Western Pacific,9676,5733.08,721,427.2,0,145,85.91,1,0.59,0
Gambia,Africa,9626,398.32,156,6.46,0,314,12.99,13,0.54,0
Equatorial Guinea,Africa,9326,664.73,277,19.74,153,124,8.84,1,0.07,1
Jersey,Europe,9249,8580.1,194,179.97,0,77,71.43,2,1.86,0
Nicaragua,Americas,8867,133.85,371,5.6,0,199,3,1,0.02,0
Saint Lucia,Americas,8050,4383.89,939,511.36,181,103,56.09,6,3.27,1
Yemen,Eastern Mediterranean,7784,26.1,275,0.92,33,1461,4.9,43,0.14,11
Eritrea,Africa,6640,187.23,17,0.48,1,37,1.04,0,0,0
Isle of Man,Europe,6587,7746.5,313,368.1,31,29,34.1,0,0,0
Sierra Leone,Africa,6367,79.82,15,0.19,4,121,1.52,0,0,0
Niger,Africa,5833,24.1,63,0.26,0,198,0.82,2,0.01,0
United States Virgin Islands,Americas,5774,5529.33,169,161.84,0,53,50.75,8,7.66,0
Guinea-Bissau,Africa,5766,292.99,248,12.6,21,117,5.95,14,0.71,1
Liberia,Africa,5594,110.6,67,1.32,0,245,4.84,0,0,0
Gibraltar,Europe,5338,15843.99,60,178.09,15,97,287.91,1,2.97,0
San Marino,Europe,5321,15678.59,60,176.79,7,90,265.19,0,0,0
Chad,Africa,4993,30.4,8,0.05,1,174,1.06,0,0,0
Barbados,Americas,4881,1698.48,241,83.86,92,48,16.7,0,0,0
Comoros,Africa,4062,467.11,12,1.38,2,147,16.9,0,0,0
Sint Maarten,Americas,3580,8348.49,214,499.04,0,47,109.6,5,11.66,0
Liechtenstein,Europe,3371,8700.03,26,67.1,0,58,149.69,0,0,0
Saint Martin,Americas,3356,8681.03,209,540.62,0,17,43.97,1,2.59,0
Monaco,Europe,3183,8110.79,50,127.41,0,35,89.19,0,0,0
New Zealand,Western Pacific,3163,65.59,465,9.64,55,26,0.54,0,0,0
Bermuda,Americas,2844,4566.99,94,150.95,0,33,52.99,0,0,0
Turks and Caicos Islands,Americas,2650,6844.36,38,98.15,13,20,51.66,1,2.58,0
Bhutan,South-East Asia,2594,336.18,9,1.17,0,3,0.39,0,0,0
Sao Tome and Principe,Africa,2590,1181.79,66,30.12,0,37,16.88,0,0,0
British Virgin Islands,Americas,2568,8492.91,0,0,0,37,122.37,0,0,0
Brunei Darussalam,Western Pacific,2565,586.31,796,181.95,103,8,1.83,5,1.14,1
Saint Vincent and the Grenadines,Americas,2331,2101.14,11,9.92,0,12,10.82,0,0,0
Bonaire,Americas,1749,8362.42,16,76.5,0,17,81.28,0,0,0
Antigua and Barbuda,Americas,1713,1749.23,223,227.72,75,44,44.93,1,1.02,1
Dominica,Americas,1638,2275.28,299,415.33,0,4,5.56,3,4.17,0
Saint Barthélemy,Americas,1592,16105.21,39,394.54,0,1,10.12,0,0,0
United Republic of Tanzania,Africa,1367,2.29,0,0,0,50,0.08,0,0,0
Guernsey,Europe,1237,1918.78,88,136.5,0,18,27.92,0,0,0
Saint Kitts and Nevis,Americas,1053,1979.62,230,432.4,29,3,5.64,0,0,0
Faroe Islands,Europe,1000,2046.45,5,10.23,1,2,4.09,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,680,1034.69,17,25.87,0,2,3.04,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Greenland,Europe,333,586.56,35,61.65,4,0,0,0,0,0
Grenada,Americas,296,263.06,74,65.76,0,1,0.89,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,241,418.72,17,29.54,5,2,3.47,0,0,0
Anguilla,Americas,194,1293.16,28,186.64,0,0,0,0,0,0
New Caledonia,Western Pacific,136,47.64,1,0.35,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,64,1837.5,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,30,517.69,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Montserrat,Americas,26,520.1,1,20,0,1,20,0,0,0
Sint Eustatius,Americas,24,764.57,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,10,517.33,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Palau,Western Pacific,2,11.05,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
